"Var1","Var2"
-1.41886705130102,-1.43006666620359
-1.45753616906134,-1.39854446700857
-1.42140673467014,-1.41321453567703
-1.43576543609392,-1.37577905114178
-1.41274037509371,-1.40865266976769
-1.43137096445067,-1.43618776126026
-1.42109034889709,-1.43457252998943
-1.40847735990883,-1.39833857980625
-1.4365399568803,-1.41485772464959
-1.38251072234461,-1.39952319135187
-1.42287498209118,-1.43519440523367
-1.40800460914583,-1.4205345712623
-1.42432246325208,-1.44147725778736
-1.42460468612599,-1.39791911492114
-1.40428624288674,-1.42560550943138
-1.41420716410735,-1.44315914772506
-1.40934245141381,-1.42161934565948
-1.38548271383483,-1.44017768811267
-1.41351695822671,-1.42043833928638
-1.41360354400819,-1.41579412790866
-1.4286562548792,-1.40904605896611
-1.39875651496766,-1.40411624488302
-1.39822518793306,-1.39963299273558
-1.39395933552299,-1.41153682998618
-1.43407821079908,-1.41853316006365
-1.41383106383006,-1.43256877161885
-1.4232345955921,-1.40724255999635
-1.41025612699717,-1.40027342669304
-1.42325135826125,-1.41285022509789
-1.41843957952128,-1.42711168306713
-1.42393915040986,-1.39127797587681
-1.42558412990497,-1.42466497875588
-1.39660379159883,-1.41215615840827
-1.43787046779434,-1.41147474008342
-1.40728994050373,-1.43545699166381
-1.39612048205843,-1.44350710961101
-1.42740855640968,-1.40496071091554
-1.41850155025443,-1.42019250879546
-1.3838476938709,-1.44454554836013
-1.40488842215773,-1.42113870031132
-1.39409827481104,-1.40696951724755
-1.43710913788385,-1.42502183133483
-1.38705178492529,-1.40800856143453
-1.42990735100731,-1.39560392263631
-1.43769197463115,-1.41038337987176
-1.42484046928713,-1.42339859233986
-1.4140349331021,-1.39459759206101
-1.41351517833002,-1.40212826567076
-1.39535244983532,-1.42133271851026
-1.42819983022839,-1.4063299113353
-1.45453299221002,-1.43594336273103
-1.40670396518782,-1.41322169609928
-1.39174803355678,-1.4142430122701
-1.39494027533281,-1.43211387507115
-1.40509442511907,-1.42999213266394
-1.43932419545826,-1.39282532771192
-1.43504957230902,-1.41122665031934
-1.4092270544785,-1.4056875781628
-1.41148713805174,-1.4177254830093
-1.39997988741656,-1.41019339136906
-1.39676406144166,-1.4308473354885
-1.41603743210041,-1.40150297735428
-1.42622888343015,-1.40415519868193
-1.39370755680958,-1.40789291111814
-1.44055563365368,-1.41712069452121
-1.41813897385859,-1.41289895787925
-1.40884148607543,-1.41602412855906
-1.41887885387559,-1.40876200588105
-1.41862627154773,-1.39255849758103
-1.42430613807651,-1.43315069494496
-1.43104745225257,-1.42857518995702
-1.41727171120025,-1.41661687661885
-1.41671905027624,-1.40476866626231
-1.38503210168875,-1.42257475999359
-1.42152713963538,-1.40909153231262
-1.43025423292178,-1.42417748197428
-1.45744137385724,-1.41877752775324
-1.40588226597441,-1.38810522136744
-1.41021635156668,-1.40176478706173
-1.39532076492198,-1.424586766767
-1.41344864350134,-1.4200148568174
-1.45437869599306,-1.41769868944234
-1.43845628617067,-1.42326977185862
-1.39509471353883,-1.40962712057723
-1.40067933887541,-1.4166676555443
-1.4303640786335,-1.42698368595282
-1.38633830942981,-1.40545344215454
-1.38217248355444,-1.40449270685251
-1.42794452690024,-1.39689584693463
-1.42574939391896,-1.41301257950051
-1.41091671673643,-1.41028902733321
-1.40366458971137,-1.40032129447096
-1.40759914360405,-1.42091019447806
-1.42341256676412,-1.42079337972408
-1.42204945231019,-1.4059088707509
-1.3907872530328,-1.41888926577357
-1.400049298012,-1.40093346377763
-1.41681066842006,-1.37047397193776
-1.42767731377349,-1.39848601149589
-1.43931544143636,-1.41666239522027
-1.42013582762828,-1.42916762604945
-1.36954454236833,-1.41810083454126
-1.42730556939588,-1.42783276060504
-1.40758407764996,-1.39331406450141
-1.38635225594953,-1.44041057315167
-1.40332422522957,-1.43809814020573
-1.41097806922492,-1.3961841435159
-1.38667439225773,-1.41748927787242
-1.40084282943934,-1.42952811340138
-1.38108019499461,-1.43757686263001
-1.42607205648302,-1.42065635621688
-1.39864551798507,-1.41168241170955
-1.41330627634305,-1.41092612540396
-1.40732387694642,-1.42408886694277
-1.41420976310863,-1.39063946755636
-1.38005932105468,-1.40560396455357
-1.43647680686049,-1.39161281178049
-1.43089368167728,-1.43519309978081
-1.41682985721456,-1.43939979264753
-1.4223747608237,-1.38747975032301
-1.41500335820361,-1.43295849635859
-1.44656333752301,-1.40996448766152
-1.39869579998156,-1.41662382050379
-1.41290450762285,-1.42078968012675
-1.41240760231295,-1.42452858500562
-1.43328536176313,-1.41143658855467
-1.42881894317843,-1.42708048848343
-1.42671969312665,-1.43773903433308
-1.44507009275817,-1.38865567816537
-1.41138770998978,-1.41690805479435
-1.43001664038921,-1.42730914526211
-1.41521410145144,-1.41576886658288
-1.42034305796155,-1.42621535147178
-1.39143597872407,-1.41461117392442
-1.44872463508482,-1.41405789335213
-1.4292813243354,-1.42315481484832
-1.40094567891223,-1.42353190292153
-1.40933039944572,-1.43426623188972
-1.42145985976071,-1.38305013046626
-1.39281973937178,-1.4012754082889
-1.39974113880243,-1.42440650801502
-1.42234439512134,-1.40993161439388
-1.42439628873995,-1.39511477791355
-1.40313390863139,-1.40215305453001
-1.39525284349831,-1.38691073575611
-1.41485388253512,-1.43402798293461
-1.42531311953174,-1.44649600636579
-1.42324759308338,-1.42132119951648
-1.43406323372981,-1.43264437730867
-1.41584831591976,-1.42607264539752
-1.45081181395754,-1.42110696154117
-1.3973926932777,-1.41428052245389
-1.40274526424261,-1.42133500150117
-1.39645945641348,-1.38241477222633
-1.40542258767253,-1.41049619753808
-1.42257756272246,-1.41408812332839
-1.41331688151683,-1.41504703016255
-1.42817701056912,-1.42742296164793
-1.41200272942077,-1.4000021153932
-1.41707586578272,-1.40679618058671
-1.42963617144153,-1.39854496280453
-1.40495017597687,-1.44412918502145
-1.40359327565738,-1.36861028238937
-1.40921698875562,-1.40742633723489
-1.41062590245836,-1.39899461250017
-1.40281150539354,-1.41304644033672
-1.38054706192581,-1.41137907874249
-1.41365269936339,-1.42287639189588
-1.42069625925269,-1.39475971703871
-1.40044768289454,-1.37747985802497
-1.4117520439312,-1.40234622271787
-1.43931201903746,-1.38382343291029
-1.41206106705422,-1.38572896555262
-1.42124069596506,-1.43421381815274
-1.4139622815763,-1.4322025087416
-1.41853512397108,-1.44249518155858
-1.4042285841355,-1.40256590262128
-1.41963355473717,-1.42548098824557
-1.42834121222314,-1.43005460939963
-1.42274750621633,-1.38460769413752
-1.42154409242473,-1.43682376441127
-1.42782977172125,-1.42405732312246
-1.39057091178996,-1.42741293775646
-1.39166814774665,-1.44591183515347
-1.43140939807159,-1.40249618056317
-1.43549219931659,-1.44382355999248
-1.40497761274781,-1.39786012459024
-1.40450032819058,-1.39824032578239
-1.4170145874761,-1.42108301344144
-1.41897730344235,-1.38253783797976
-1.41058136113956,-1.41663157657021
-1.43477169404409,-1.4177972024704
-1.44662331971844,-1.41701645846345
-1.42355225084118,-1.41202897518739
-1.47596241501975,-1.39997626079025
-1.41671503135246,-1.42427493055468
-1.41699823106145,-1.39129431956667
-1.42676100654427,-1.43332003316277
-1.37366254444738,-1.41368856076122
-1.41038795641079,-1.39954325155275
-1.438800838054,-1.3928837317473
-1.42726999511403,-1.41040803248642
-1.44079367143132,-1.4059542836065
-1.42766194451304,-1.43179328835251
-1.40696226641772,-1.40472943687724
-1.43046940678959,-1.42255438740989
-1.40485473762415,-1.4291187776321
-1.40102153674917,-1.40890101248329
-1.40941208180151,-1.40723846106822
-1.43138514036002,-1.39517521521575
-1.41918820186517,-1.38197275348773
-1.43082808771407,-1.37045214582846
-1.39586273757053,-1.38180632339905
-1.40634091082782,-1.43310219338042
-1.42994399476736,-1.42955864748453
-1.41346618716927,-1.4299072988481
-1.38922462778222,-1.41853788860039
-1.41868549581338,-1.37942873607343
-1.39300806256004,-1.39713435226267
-1.4424397974131,-1.42332747483632
-1.39612074922585,-1.37754606155582
-1.39176505147312,-1.41852675830811
-1.42358032309096,-1.39725225063405
-1.4105980164003,-1.40216288283742
-1.37831205555796,-1.37361433297219
-1.40191849482076,-1.40860718050215
-1.41399719953045,-1.43562578376339
-1.40192734764836,-1.40755007433273
-1.44307168874483,-1.3897774593921
-1.40677625503506,-1.38004244159852
-1.39006089238672,-1.40308387252784
-1.41461648246763,-1.41518878046235
-1.40849848940757,-1.45978460196074
-1.4111270303598,-1.39678024045994
-1.39164537956415,-1.42387181553928
-1.40166349766863,-1.41960745827452
-1.38341421865429,-1.37829368597583
-1.43800416015439,-1.42326542260858
-1.42414826170422,-1.37930312062041
-1.38745575828812,-1.43610204711706
-1.39208907910122,-1.42222770161391
-1.42347729314084,-1.42954167489308
-1.41561577879486,-1.40902942509698
-1.42223906320905,-1.41249568904698
-1.41726066418965,-1.4183959973915
-1.41536391904783,-1.44936190251374
